#Taxid	Ensembl_protein	Gn	Mean-copy-number
9606	ENSP00000263100	A1BG	885.188
9606	ENSP00000282641	A1CF	19.016
9606	ENSP00000282641	A1CF	19.016
9606	ENSP00000282641	A1CF	19.016
9606	ENSP00000323929	A2M	1114.564
9606	ENSP00000323929	A2M	1114.564
9606	ENSP00000323929	A2M	1114.564
9606	ENSP00000323929	A2M	1114.564
9606	ENSP00000299698	A2ML1	90.762
9606	ENSP00000299698	A2ML1	90.762
9606	ENSP00000299698	A2ML1	90.762
9606	ENSP00000299698	A2ML1	90.762
9606	ENSP00000299698	A2ML1	90.762
9606	ENSP00000249005	A4GALT	6.755
9606	ENSP00000236709	A4GNT	10.304
9606	ENSP00000209873	AAAS	33.443
9606	ENSP00000209873	AAAS	33.443
9606	ENSP00000324842	AACS	72.754
9606	ENSP00000324842	AACS	72.754
9606	ENSP00000232892	AADAC	132.585
9606	ENSP00000232892	AADAC	132.585
9606	ENSP00000348911	AADACL2	0.591
9606	ENSP00000348911	AADACL2	0.591
9606	ENSP00000352268	AADACL3	2.187
9606	ENSP00000365395	AADACL4	8.467
9606	ENSP00000226840	AADAT	50.761
9606	ENSP00000226840	AADAT	50.761
9606	ENSP00000226840	AADAT	50.761
9606	ENSP00000226840	AADAT	50.761
9606	ENSP00000261880	AAGAB	57.199
9606	ENSP00000261880	AAGAB	57.199
9606	ENSP00000341274	AAK1	42.817
9606	ENSP00000341274	AAK1	42.817
9606	ENSP00000386456	AAK1	42.960
9606	ENSP00000386456	AAK1	42.960
9606	ENSP00000386456	AAK1	42.960
9606	ENSP00000377078	AAMDC	132.894
9606	ENSP00000377078	AAMDC	132.894
9606	ENSP00000377078	AAMDC	132.894
9606	ENSP00000248450	AAMP	54.909
9606	ENSP00000248450	AAMP	54.909
9606	ENSP00000248450	AAMP	54.909
9606	ENSP00000248450	AAMP	54.909
9606	ENSP00000248450	AAMP	54.909
9606	ENSP00000250615	AANAT	2.501
9606	ENSP00000250615	AANAT	2.501
9606	ENSP00000313674	AAR2	37.934
9606	ENSP00000313674	AAR2	37.934
9606	ENSP00000367528	AARD	9.811
9606	ENSP00000261772	AARS1	293.503
9606	ENSP00000261772	AARS1	293.503
9606	ENSP00000244571	AARS2	39.778
9606	ENSP00000402835	AARSD1	31.247
9606	ENSP00000402835	AARSD1	31.247
9606	ENSP00000402835	AARSD1	31.247
9606	ENSP00000402835	AARSD1	31.247
9606	ENSP00000402835	AARSD1	35.195
9606	ENSP00000205214	AASDH	4.946
9606	ENSP00000205214	AASDH	4.946
9606	ENSP00000205214	AASDH	4.946
9606	ENSP00000205214	AASDH	4.946
9606	ENSP00000278618	AASDHPPT	62.412
9606	ENSP00000278618	AASDHPPT	62.412
9606	ENSP00000278618	AASDHPPT	62.412
9606	ENSP00000377040	AASS	62.129
9606	ENSP00000377040	AASS	62.129
9606	ENSP00000377040	AASS	62.129
9606	ENSP00000225402	AATF	44.947
9606	ENSP00000225402	AATF	44.947
9606	ENSP00000225402	AATF	44.947
9606	ENSP00000324196	AATK	3.149
9606	ENSP00000324196	AATK	3.149
9606	ENSP00000324196	AATK	3.149
9606	ENSP00000268251	ABAT	249.912
9606	ENSP00000268251	ABAT	249.912
9606	ENSP00000268251	ABAT	249.912
9606	ENSP00000268251	ABAT	249.912
9606	ENSP00000268251	ABAT	249.912
9606	ENSP00000268251	ABAT	249.912
9606	ENSP00000268251	ABAT	249.912
9606	ENSP00000268251	ABAT	249.912
9606	ENSP00000268251	ABAT	249.912
9606	ENSP00000269081	ABCA10	2.232
9606	ENSP00000269081	ABCA10	2.232
9606	ENSP00000269081	ABCA10	2.232
9606	ENSP00000269081	ABCA10	2.232
9606	ENSP00000269081	ABCA10	2.232
9606	ENSP00000363868	ABCA1	10.958
9606	ENSP00000363868	ABCA1	10.958
9606	ENSP00000363868	ABCA1	10.958
9606	ENSP00000272895	ABCA12	6.039
9606	ENSP00000272895	ABCA12	6.039
9606	ENSP00000411096	ABCA13	9.211
9606	ENSP00000411096	ABCA13	9.211
9606	ENSP00000411096	ABCA13	9.211
9606	ENSP00000411096	ABCA13	9.211
9606	ENSP00000411096	ABCA13	9.211
9606	ENSP00000344155	ABCA2	12.397
9606	ENSP00000344155	ABCA2	12.397
9606	ENSP00000344155	ABCA2	12.397
9606	ENSP00000344155	ABCA2	12.397
9606	ENSP00000344155	ABCA2	12.397
9606	ENSP00000344155	ABCA2	12.397
9606	ENSP00000344155	ABCA2	12.397
9606	ENSP00000344155	ABCA2	12.397
9606	ENSP00000344155	ABCA2	12.397
9606	ENSP00000301732	ABCA3	16.929
9606	ENSP00000301732	ABCA3	16.929
9606	ENSP00000359245	ABCA4	5.187
9606	ENSP00000359245	ABCA4	5.187
9606	ENSP00000376443	ABCA5	5.309
9606	ENSP00000376443	ABCA5	5.309
9606	ENSP00000376443	ABCA5	5.309
9606	ENSP00000376443	ABCA5	5.309
9606	ENSP00000376443	ABCA5	5.309
9606	ENSP00000376443	ABCA5	5.309
9606	ENSP00000376443	ABCA5	5.309
9606	ENSP00000376443	ABCA5	5.309
9606	ENSP00000376443	ABCA5	5.309
9606	ENSP00000284425	ABCA6	8.944
9606	ENSP00000263094	ABCA7	5.000
9606	ENSP00000263094	ABCA7	5.000
9606	ENSP00000263094	ABCA7	5.000
9606	ENSP00000263094	ABCA7	5.000
9606	ENSP00000263094	ABCA7	5.000
9606	ENSP00000263094	ABCA7	5.000
9606	ENSP00000263094	ABCA7	5.000
9606	ENSP00000269080	ABCA8	20.022
9606	ENSP00000269080	ABCA8	20.022
9606	ENSP00000269080	ABCA8	20.022
9606	ENSP00000269080	ABCA8	20.022
9606	ENSP00000342216	ABCA9	2.937
9606	ENSP00000342216	ABCA9	2.937
9606	ENSP00000342216	ABCA9	2.937
9606	ENSP00000355637	ABCB10	27.544
9606	ENSP00000263817	ABCB11	10.653
9606	ENSP00000263817	ABCB11	10.653
9606	ENSP00000263817	ABCB11	10.653
9606	ENSP00000265724	ABCB1	29.431
9606	ENSP00000265724	ABCB1	29.431
9606	ENSP00000265723	ABCB4	4.929
9606	ENSP00000265723	ABCB4	4.929
9606	ENSP00000265723	ABCB4	4.929
9606	ENSP00000384881	ABCB5	1.568
9606	ENSP00000384881	ABCB5	1.568
9606	ENSP00000265316	ABCB6	29.220
9606	ENSP00000265316	ABCB6	29.220
9606	ENSP00000265316	ABCB6	29.220
9606	ENSP00000265316	ABCB6	29.220
9606	ENSP00000265316	ABCB6	29.220
9606	ENSP00000253577	ABCB7	37.667
9606	ENSP00000253577	ABCB7	37.667
9606	ENSP00000253577	ABCB7	37.667
9606	ENSP00000351717	ABCB8	23.613
9606	ENSP00000351717	ABCB8	23.613
9606	ENSP00000351717	ABCB8	23.613
9606	ENSP00000351717	ABCB8	23.613
9606	ENSP00000351717	ABCB8	23.613
9606	ENSP00000280560	ABCB9	2.048
9606	ENSP00000280560	ABCB9	2.048
9606	ENSP00000280560	ABCB9	2.048
9606	ENSP00000280560	ABCB9	2.048
9606	ENSP00000280560	ABCB9	2.048
9606	ENSP00000280560	ABCB9	2.048
9606	ENSP00000280560	ABCB9	2.048
9606	ENSP00000280560	ABCB9	2.048
9606	ENSP00000280560	ABCB9	2.048
9606	ENSP00000280560	ABCB9	2.048
9606	ENSP00000280560	ABCB9	2.048
9606	ENSP00000361608	ABCC10	6.356
9606	ENSP00000361608	ABCC10	6.356
9606	ENSP00000361608	ABCC10	6.356
9606	ENSP00000349017	ABCC11	2.507
9606	ENSP00000349017	ABCC11	2.507
9606	ENSP00000311030	ABCC12	3.588
9606	ENSP00000311030	ABCC12	3.588
9606	ENSP00000311030	ABCC12	3.588
9606	ENSP00000382342	ABCC1	27.257
9606	ENSP00000382342	ABCC1	27.257
9606	ENSP00000382342	ABCC1	27.257
9606	ENSP00000359478	ABCC2	15.222
9606	ENSP00000285238	ABCC3	19.131
9606	ENSP00000285238	ABCC3	19.131
9606	ENSP00000366084	ABCC4	23.103
9606	ENSP00000333926	ABCC5	11.888
9606	ENSP00000333926	ABCC5	11.888
9606	ENSP00000333926	ABCC5	11.888
9606	ENSP00000333926	ABCC5	11.888
9606	ENSP00000333926	ABCC5	11.888
9606	ENSP00000205557	ABCC6	16.714
9606	ENSP00000205557	ABCC6	16.714
9606	ENSP00000374467	ABCC8	0.835
9606	ENSP00000374467	ABCC8	0.835
9606	ENSP00000374467	ABCC8	0.835
9606	ENSP00000374467	ABCC8	0.835
9606	ENSP00000261200	ABCC9	1.520
9606	ENSP00000261200	ABCC9	1.520
9606	ENSP00000261200	ABCC9	1.520
9606	ENSP00000261200	ABCC9	1.520
9606	ENSP00000218104	ABCD1	19.126
9606	ENSP00000218104	ABCD1	19.126
9606	ENSP00000310688	ABCD2	4.231
9606	ENSP00000359233	ABCD3	56.521
9606	ENSP00000349396	ABCD4	15.388
9606	ENSP00000349396	ABCD4	15.388
9606	ENSP00000349396	ABCD4	15.388
9606	ENSP00000349396	ABCD4	15.388
9606	ENSP00000349396	ABCD4	15.388
9606	ENSP00000349396	ABCD4	15.388
9606	ENSP00000296577	ABCE1	96.118
9606	ENSP00000296577	ABCE1	96.118
9606	ENSP00000296577	ABCE1	96.118
9606	ENSP00000296577	ABCE1	96.118
9606	ENSP00000313603	ABCF1	71.939
9606	ENSP00000313603	ABCF1	71.939
9606	ENSP00000313603	ABCF1	71.939
9606	ENSP00000313603	ABCF1	71.939
9606	ENSP00000222388	ABCF2	85.554
9606	ENSP00000222388	ABCF2	85.554
9606	ENSP00000222388	ABCF2	85.554
9606	ENSP00000411471	ABCF3	43.164
9606	ENSP00000411471	ABCF3	43.164
9606	ENSP00000354995	ABCG1	6.915
9606	ENSP00000354995	ABCG1	6.915
9606	ENSP00000237612	ABCG2	31.827
9606	ENSP00000237612	ABCG2	31.827
9606	ENSP00000304111	ABCG4	8.058
9606	ENSP00000304111	ABCG4	8.058
9606	ENSP00000260645	ABCG5	6.327
9606	ENSP00000272286	ABCG8	3.049
9606	ENSP00000273359	ABHD10	153.157
9606	ENSP00000273359	ABHD10	153.157
9606	ENSP00000273359	ABHD10	153.157
9606	ENSP00000326491	ABHD1	0.875
9606	ENSP00000326491	ABHD1	0.875
9606	ENSP00000326491	ABHD1	0.875
9606	ENSP00000222800	ABHD11	112.456
9606	ENSP00000222800	ABHD11	112.456
9606	ENSP00000222800	ABHD11	112.456
9606	ENSP00000222800	ABHD11	112.456
9606	ENSP00000222800	ABHD11	112.456
9606	ENSP00000365725	ABHD12	52.622
9606	ENSP00000365725	ABHD12	52.622
9606	ENSP00000365725	ABHD12	52.622
9606	ENSP00000365725	ABHD12	52.622
9606	ENSP00000365725	ABHD12	52.622
9606	ENSP00000365725	ABHD12	52.622
9606	ENSP00000336693	ABHD12B	4.279
9606	ENSP00000365063	ABHD13	25.927
9606	ENSP00000420487	ABHD14A	61.263
9606	ENSP00000420487	ABHD14A	61.263
9606	ENSP00000420487	ABHD14A	61.263
9606	ENSP00000420487	ABHD14A	61.263
9606	ENSP00000420487	ABHD14A-ACY1	61.263
9606	ENSP00000420487	ABHD14A-ACY1	94.105
9606	ENSP00000354841	ABHD14B	369.662
9606	ENSP00000354841	ABHD14B	369.662
9606	ENSP00000302657	ABHD15	6.135
9606	ENSP00000379282	ABHD16A	48.289
9606	ENSP00000379282	ABHD16A	48.289
9606	ENSP00000379282	ABHD16A	48.289
9606	ENSP00000358932	ABHD16B	3.318
9606	ENSP00000250974	ABHD17A	28.519
9606	ENSP00000366240	ABHD17B	25.705
9606	ENSP00000258884	ABHD17C	11.010
9606	ENSP00000258884	ABHD17C	11.010
9606	ENSP00000381937	ABHD18	3.327
9606	ENSP00000381937	ABHD18	3.327
9606	ENSP00000381937	ABHD18	3.327
9606	ENSP00000268129	ABHD2	14.314
9606	ENSP00000268129	ABHD2	14.314
9606	ENSP00000268129	ABHD2	14.314
9606	ENSP00000268129	ABHD2	14.314
