Gn,Mean-copy-number,mean,std
C11orf91,11.014,11.014,0.0
AMBRA1,17.092,17.092,0.0
CIPC,10.217,10.217,0.0
RSPH3,2.694,2.6940000000000004,0.0
VAV1,29.248,29.248,0.0
LPAR4,4.079,4.079,0.0
GTPBP8,29.005,29.005,0.0
PTTG1IP,84.806,84.806,0.0
MND1,22.982,22.982,0.0
PPM1D,10.6,10.6,0.0
ARL10,15.224,15.224,0.0
AZI2,16.585,16.585,0.0
ADAM10,45.492,45.492,0.0
CNTN2,10.093,10.093,
IL32,20.006,20.006,
NLRP2,5.843,5.843000000000001,0.0
ADGRL4,2.247,2.247,0.0
MAGEA10,28.604,28.603999999999996,0.0
RASGEF1A,6.088,6.088,0.0
PSMB1,332.431,332.431,
FCAMR,6.666,6.666,0.0
SLC38A7,3.028,3.0279999999999996,0.0
GRIA1,28.07,28.07,
RNF144A,9.666,9.666,0.0
OBP2B,11.346,11.346,0.0
FAM186B,6.98,6.980000000000001,0.0
MSH5,1.868,1.8679999999999999,0.0
ZYG11A,1.426,1.426,
STAT1,174.241,174.241,0.0
LATS2,7.57,7.57,
GLOD5,6.05,6.05,0.0
HTRA4,8.456,8.456,
ADPRS,96.505,96.505,
FAM47B,4.776,4.776,
KIAA0930,21.976,21.976,0.0
RBM14,137.6,137.6,0.0
SCML2,29.67,29.67,0.0
CD8B,28.823,28.823,0.0
PNPLA8,33.775,33.775,0.0
POLE3,65.953,65.953,
SRPX2,9.874,9.874,
S100A5,3.804,3.804,
STARD7,16.699,16.699,0.0
FEN1,254.87,254.87,0.0
CDKN2B,16.762,16.762,
SUCNR1,3.148,3.148,
CDKL3,5.142,5.142,0.0
ANO4,2.525,2.525,
TOP2A,105.085,105.085,0.0
TBCCD1,11.676,11.676,0.0
LAMC3,6.767,6.767,
CSDC2,36.787,36.787,0.0
P3H2,16.848,16.848,0.0
TMEM88,21.24,21.24,0.0
RAB3C,29.511,29.511,
CHMP1B,217.824,217.824,
NQO1,426.854,426.854,0.0
LAMC1,180.849,180.849,0.0
TAS1R1,4.9,4.9,0.0
ARAF,26.248,26.248,0.0
DDTL,386.101,386.101,
XKR9,4.685,4.685,0.0
OCIAD1,136.759,136.759,0.0
CDRT4,3.963,3.963,0.0
APP,59.348,59.348,0.0
SEM1,0.835,0.835,
