Gn,Mean-copy-number,mean,rank,percentile_rank
ERVMER34-1,3.853,3.853,3323.5,16.986098333844424
SLC8A1,32.358,32.358,12973.0,66.30379229275275
POLR2J3,11.528,11.528,7663.5,39.167433302667895
GPATCH11,33.683,33.683,13205.5,67.49207809465399
GTF2H2C_2,18.013,18.013,9721.5,49.68567923949709
SPRTN,20.914,20.914,10472.0,53.5214146989676
TRPV4,4.691,4.691,3998.0,20.433404886026782
PRAMEF6,1.288,1.288,1040.5,5.3178983951753045
GFOD2,15.533,15.533,9006.0,46.02882551364612
POU2F2,7.211,7.211,5659.0,28.92262087294286
CENPX,57.652,57.652,15487.0,79.15261167331084
OR10H4,5.157,5.157,4354.5,22.25544311560871
SLC15A4,26.443,26.443,11755.0,60.0787079627926
UBE2V1,71.463,71.463,16096.0,82.26515383829091
GUSB,90.036,90.036,16655.0,85.12215066952878
MRPS12,42.387,42.387,14342.0,73.30062353061433
MED24,25.115,25.115000000000006,11476.0,58.65276500051109
PPEF2,1.946,1.946,1609.0,8.223448839824185
RBM23,23.635,23.634999999999994,11149.0,56.98149851783706
SHPK,53.21,53.21,15229.0,77.83399775120107
SLC16A6,3.487,3.487,3001.0,15.337830931207197
ANKRD30BL,5.879,5.879,4832.0,24.695901052846775
RPRD1B,99.866,99.866,16875.0,86.24655013799448
SERPINE3,14.665,14.665,8763.0,44.786875191659
ZNRD2,44.152,44.152,14519.0,74.20525401206174
BOLA1,23.818,23.818,11199.0,57.23704385157927
MRPS9,45.629,45.629,14664.0,74.94633547991414
TMEM37,26.991,26.991,11870.0,60.666462230399674
REL,26.156,26.156,11707.0,59.83338444240008
CANX,814.944,814.9439999999998,19276.0,98.51783706429521
ASIP,34.799,34.799,13381.0,68.38904221608914
KIAA0895,3.24,3.24,2779.0,14.203209649391802
TNRC18,7.891,7.890999999999999,6022.0,30.777879995911274
OR4F17,7.984,7.984,6083.0,31.089645303076768
KIAA1143,33.164,33.164,13116.0,67.03465194725544
MIER3,22.108,22.108,10776.0,55.07513032812022
ANXA2,3257.461,3257.4610000000007,19536.0,99.84667279975467
OR10J5,2.804,2.804,2401.0,12.271286926300725
LGALS2,119.276,119.276,17258.0,88.20402739445979
RPRML,0.0,0.0,20.0,0.10221813349688236
SLC9B1,1.835,1.8350000000000002,1517.0,7.753245425738527
CYBA,200.603,200.60299999999998,18079.0,92.40008177450679
EID2B,19.837,19.837,10209.0,52.1772462434836
BLOC1S6,32.826,32.826,13066.0,66.77910661351324
PI4KAP2,23.061,23.061,10993.5,56.18675252989881
TBC1D5,36.315,36.315,13606.5,69.54155167126649
KCND3,11.247,11.247,7553.0,38.60267811509762
SLC4A1AP,54.058,54.058,15277.0,78.07932127159359
COG6,30.341,30.341,12579.0,64.29009506286415
GTF2H2C,18.013,18.013,9721.5,49.68567923949709
STX8,47.818,47.818,14834.0,75.81518961463763
USE1,32.613,32.613,13023.0,66.55933762649494
ZAR1,9.77,9.77,6970.0,35.623019523663494
ZFP2,2.258,2.258,1924.0,9.833384442400082
NR1I3,9.014,9.013999999999998,6623.0,33.84953490749259
NR1I2,1.848,1.848,1524.5,7.791577225799857
IL17RE,2.054,2.054,1717.0,8.77542676070735
SLC9A2,5.075,5.075,4300.5,21.979454155167126
TMEM154,20.015,20.015,10255.0,52.412347950526424
TFEB,20.353,20.353000000000005,10337.0,52.83144229786364
MRPS2,57.849,57.849,15499.0,79.21394255340898
GATC,32.524,32.524,13002.0,66.45200858632322
NPM2,33.524,33.524,13183.0,67.37708269447
JAGN1,72.988,72.988,16143.0,82.50536645200859
TMEM183B,1.251,1.251,1011.5,5.169682101604825
CDHR2,13.834,13.834,8497.0,43.427374016150466
UFSP1,13.624,13.624,8418.0,43.023612388837776
NUP85,42.372,42.37200000000001,14339.0,73.2852908105898
PPWD1,39.508,39.508,14025.0,71.68046611468874
GIT2,36.523,36.523,13638.0,69.70254523152407
C22orf42,15.271,15.271,8929.5,45.637841153020545
STPG4,10.333,10.333,7187.0,36.73208627210467
EIPR1,34.193,34.193,13293.0,67.93928242870285
RALGAPA2,8.511,8.511,6373.5,32.57436369211898
TARS1,267.361,267.36099999999993,18444.0,94.2655627108249
SLC35E2A,4.237,4.237,3633.5,18.5704794030461
TEKT5,13.601,13.601,8409.5,42.980169682101604
FZD5,6.849,6.849,5459.0,27.900439537974037
FAM25E,3.481,3.481,2997.5,15.319942757845242
OR56A4,5.606,5.606,4660.0,23.816825104773585
PPIC,125.086,125.086,17345.0,88.64867627517121
STRIP1,25.789,25.789,11630.0,59.439844628437086
CNGA4,1.481,1.481,1199.0,6.127977103138097
PCDHB7,1.164,1.164,936.0,4.783808647654094
SMARCC1,74.601,74.601,16205.0,82.82224266584892
ICOSLG,50.691,50.691,15053.5,76.93703362976592
TAFA4,6.13,6.13,4999.0,25.54942246754574
BOLA2B,52.648,52.648,15190.0,77.63467239088214
SLC44A2,79.383,79.383,16365.0,83.63998773382399
ZNF202,19.766,19.766,10195.0,52.10569355003578
GAR1,123.213,123.213,17314.0,88.49023816825104
CNGB1,6.221,6.221,5058.0,25.850965961361545
LRRC31,7.362,7.362,5749.0,29.38260247367883
CCDC175,1.212,1.212,973.0,4.972912194623326
CFB,324.82,324.82,18649.0,95.31329857916795
NDRG3,55.147,55.147,15340.0,78.40130839210876
ACY1,99.585,99.585,16872.0,86.23121741796996
NOTCH1,10.059,10.059,7082.0,36.19544107124604
MGA,17.104,17.104,9472.5,48.4130634774609
BTBD2,13.919,13.919,8519.0,43.53981396299704
DNAH12,6.912,6.912,5504.5,28.132985791679445
ARRDC3,12.016,12.016,7859.0,40.16661555759992
DNAJC25,11.175,11.175,7532.0,38.4953490749259
FNDC4,7.287,7.287,5701.0,29.137278953286312
PDSS2,21.367,21.367,10590.0,54.1245016865992
PCDHA6,6.284,6.284,5100.0,26.065624041705
RBM4,46.119,46.119,14706.0,75.1609935602576
SDSL,62.26,62.260000000000005,15710.0,80.29234386180109
KIF3C,17.5,17.5,9574.0,48.93182050495758
ENOX2,6.064,6.064,4960.0,25.350097107226823
MFN1,24.268,24.268,11296.0,57.732801799039144
CLDN22,1.331,1.331,1075.5,5.496780128794848
SLC35E1,40.077,40.077,14087.0,71.99734232852907
SEC31B,2.373,2.373,2016.0,10.303587856485741
ARHGEF37,27.892,27.892,12050.0,61.58642543187162
CDH20,5.958,5.958,4896.0,25.0229990800368
METTL1,48.847,48.847,14912.0,76.21384033527548
PPIL3,92.095,92.09499999999998,16708.0,85.39302872329552
CACNG2,7.119,7.119,5613.0,28.68751916590003
CBLN2,11.936,11.936,7826.0,39.997955637330065
SRA1,48.751,48.751,14906.0,76.18317489522641
KRT86,136.252,136.252,17470.0,89.28753960952673
RAI2,15.386,15.386,8963.5,45.81161197996524
TRIM10,15.327,15.327,8950.5,45.74517019319227
CCDC62,4.632,4.632,3955.5,20.216191352345906
VIRMA,20.967,20.967,10493.0,53.62874373913933
ZNF397,1.782,1.782,1471.0,7.518143718695697
GCNT4,3.71,3.71,3206.0,16.38556679955024
CNTFR,51.368,51.368,15091.0,77.12869263007256
PDGFC,6.137,6.137,5005.5,25.582643360932227
INPP5D,48.492,48.492,14885.0,76.0758458550547
ZNF554,2.029,2.029,1688.0,8.62721046713687
KRTAP10-3,4.913,4.913,4164.0,21.281815394050906
PIFO,12.861,12.861,8167.0,41.74077481345191
ARL5A,11.868,11.868,7806.5,39.8982929571706
NCAPH,35.215,35.215,13449.0,68.73658386997853
CCDC167,38.159,38.159,13858.0,70.82694469998978
ORC6,20.58,20.58,10387.0,53.086987631605844
PBX1,32.881,32.88099999999999,13074.0,66.81999386691199
RAD50,79.493,79.493,16367.0,83.65020954717367
SKAP1,9.168,9.168,6691.5,34.19963201471941
PPM1K,28.235,28.235000000000003,12134.0,62.01574159255851
HECW2,3.521,3.521,3045.5,15.565266278237761
SP110,14.68,14.68,8767.0,44.807318818358375
BTNL3,6.031,6.031,4941.0,25.252989880404787
GATAD2B,29.328,29.328,12360.0,63.170806501073294
IL2RG,4.672,4.672,3987.5,20.37974036594092
SEC61B,296.998,296.998,18559.5,94.8558724317694
NTF4,78.586,78.586,16337.0,83.49688234692834
KAT2A,12.482,12.482,8029.0,41.03546969232342
TMCC2,5.939,5.939,4884.5,24.96422365327609
KCNH8,2.588,2.588,2205.5,11.2721046713687
ZNF334,2.056,2.056,1720.5,8.793314934069304
VWA5A,36.932,36.932,13694.0,69.98875600531534
STAG3,7.419,7.419,5781.0,29.546151487273843
PARM1,31.26,31.26,12769.0,65.26116733108454
ETFA,538.236,538.236,19051.0,97.36788306245529
RPS27,338.813,338.813,18681.0,95.47684759276297
PDE6A,19.784,19.784,10202.0,52.14146989675969
NTPCR,89.414,89.414,16633.0,85.00971072268221
RNPEP,141.34,141.34,17533.0,89.6095267300419
EIF6,292.915,292.915,18535.0,94.73065521823571
C1orf210,25.468,25.468,11555.0,59.05652662782378
E2F1,6.605,6.605,5308.0,27.128692630072575
TM2D1,8.906,8.906,6553.0,33.4917714402535
RNF166,10.113,10.113,7104.5,36.31043647143003
RPP25,16.028,16.028,9159.0,46.810794234897266
MACF1,107.666,107.66599999999997,17040.0,87.08984973934376
C16orf74,1.875,1.875,1542.5,7.88357354594705
PLXNB3,4.329,4.329,3704.0,18.93079832362261
MIER2,23.171,23.171,11028.0,56.36307881018092
ZNF519,1.856,1.856,1530.0,7.8196872125115
ANKRD10,13.271,13.271,8291.0,42.374527241132576
FGF19,0.691,0.691,573.0,2.928549524685679
FCSK,25.421,25.420999999999996,11545.0,59.00541756107533
H1-1,285.338,285.338,18507.0,94.58754983134008
PCDHB2,1.541,1.541,1252.0,6.398855156904835
PNPLA8,33.775,33.775,13214.5,67.53807625472759
TBC1D16,15.679,15.679,9058.0,46.29459266073802
GOLGA6L4,0.921,0.921,738.5,3.7744045793723804
BOLA2-SMG1P6,18.461,18.461,9856.0,50.37309618726362
OBSCN,16.509,16.509,9296.0,47.51098844935092
GALT,29.974,29.974,12483.0,63.79944802207912
SHISA5,138.044,138.044,17497.0,89.42553408974753
CBWD3,5.137,5.137,4340.0,22.181334968823467
MAK16,45.055,45.055,14612.0,74.68056833282223
PATL1,24.577,24.577,11367.0,58.095676172953084
MYL7,173.178,173.178,17874.0,91.35234590616376
MOB3B,13.986,13.986,8544.0,43.66758662986814
FAM160A1,30.637,30.637,12640.0,64.60186037002964
TBC1D3C,1.947,1.947,1612.0,8.238781559848716
TREM1,0.556,0.556,467.0,2.386793417152203
RASA3,35.369,35.369,13470.0,68.84391291015027
TWF2,164.337,164.337,17794.0,90.94347337217621
SERPINI1,36.146,36.146,13579.0,69.40100173770827
AOC2,27.975,27.975,12069.0,61.68353265869365
GGNBP2,14.18,14.18,8611.0,44.0100173770827
ALKBH3,34.328,34.328,13314.0,68.04661146887457
MARF1,12.346,12.346,7976.0,40.76459163855668
LCN9,0.816,0.816,653.0,3.337422058673209
PRNP,83.082,83.082,16484.0,84.24818562813043
TMEM59L,2.503,2.503,2133.5,10.904119390779925
SH3KBP1,59.725,59.725,15583.5,79.6458141674333
GHR,6.624,6.624,5316.0,27.16957988347133
GMPR2,62.376,62.37599999999998,15714.0,80.31278748850046
SPATA6L,7.479,7.479,5818.0,29.735255034243075
CLIC6,30.732,30.732,12663.5,64.72196667688847
LINC01559,1.532,1.532,1244.0,6.357967903506082
PEX2,1.903,1.903,1569.5,8.021568026167843
TAS2R60,5.631,5.631,4668.5,23.86026781150976
NVL,28.61,28.61,12216.5,62.437391393233156
DCLK2,27.946,27.946,12061.5,61.64520085863232
