Domain,mean,std,rank,percentile_rank
Serum_albumin,13314.00017073171,10821.545569013993,6419.0,100.0
Casein_kappa,4953.42,,6418.0,99.98442124941579
ApoA-II,4771.998375,1632.1788792282662,6417.0,99.96884249883159
ApoC-I,4531.031,0.0,6416.0,99.9532637482474
Keratin_2_tail,3745.121,,6415.0,99.93768499766318
Transthyretin,3512.367,,6414.0,99.92210624707897
Casein,2989.446,,6413.0,99.90652749649477
Gp_dh_C,2827.9868,3807.6067370665655,6411.5,99.88315937061847
Gp_dh_N,2827.9868,3807.6067370665655,6411.5,99.88315937061847
Apo-CII,2716.309,0.0,6410.0,99.85979124474217
TIM,2659.943,0.0,6409.0,99.84421249415796
Myelin_MBP,2557.5570000000002,0.0,6408.0,99.82863374357376
Thymosin,2334.1403333333333,4613.8524498933275,6407.0,99.81305499298956
Lys,2312.932333333333,4753.783933566212,6406.0,99.79747624240535
PK,2278.52925,687.0898329307092,6405.0,99.78189749182114
Ribosomal_L39,2239.634,3166.780547971078,6404.0,99.76631874123694
PapC_N,2038.675,0.0,6403.0,99.75073999065275
Crystallin,1897.7252500000002,869.6866176264688,6402.0,99.73516124006854
Globin,1846.1140937500004,3376.3795918772976,6401.0,99.71958248948434
Cpn10,1807.222,0.0,6400.0,99.70400373890014
Apo-CIII,1754.567,0.0,6399.0,99.68842498831593
Annexin,1718.5231999999965,1262.6551242486062,6398.0,99.67284623773173
Transferrin,1714.5386153846157,1225.190395121577,6397.0,99.65726748714752
Fibrinogen_aC,1656.092,0.0,6396.0,99.64168873656332
14-3-3,1623.8681666666664,760.4690488772256,6395.0,99.62610998597911
1-cysPrx_C,1601.6619090909094,1168.2382705916166,6394.0,99.61053123539492
Glycolytic,1471.2551428571437,951.8363213679172,6393.0,99.59495248481072
Filament_head,1329.76925,1450.9778667592188,6392.0,99.57937373422651
HSP20,1231.21504,1092.5836219655562,6391.0,99.56379498364231
Ribosomal_S27,1217.5510000000002,130.6520565165355,6389.5,99.54042685776601
Ribosomal_L40e,1217.5510000000002,130.6520565165355,6389.5,99.54042685776601
PK_C,1203.157652173913,1246.9735748490352,6388.0,99.51705873188969
Tropomyosin,1178.1514782608697,748.155603324959,6387.0,99.5014799813055
Fib_alpha,1169.4007692307694,818.1900025268329,6386.0,99.48590123072128
NPM1-C,1160.196,0.0,6385.0,99.47032248013709
ROKNT,1141.496,0.0,6384.0,99.45474372955289
VitD-bind_III,1113.113,0.0,6383.0,99.43916497896869
Prothymosin,1044.2678571428573,20.8645506336192,6382.0,99.42358622838448
Mucin-like,1019.813,0.0,6381.0,99.40800747780028
Ldh_1_C,1012.2173055555556,712.2620372620426,6379.5,99.38463935192398
Ldh_1_N,1012.2173055555556,712.2620372620426,6379.5,99.38463935192398
PGK,1011.5055,1144.9805341159733,6378.0,99.36127122604766
Ribosomal_L29e,1001.361,0.0,6377.0,99.34569247546347
Calponin,991.3173157894748,1017.2750239087643,6376.0,99.33011372487925
Filamin,981.739234375004,831.8277190503989,6375.0,99.31453497429506
Enolase_C,974.3236,1068.964103023296,6374.0,99.29895622371086
ATP-synt_ab_C,973.5136666666666,704.5259654033449,6373.0,99.28337747312665
Rad10,968.3189999999997,0.0,6372.0,99.26779872254244
Sod_Cu,939.1307142857142,1124.1160865874,6371.0,99.25221997195824
Sod_Fe_C,923.542,0.0,6369.5,99.22885184608194
Sod_Fe_N,923.542,0.0,6369.5,99.22885184608194
Ribosomal_L29,921.513,,6368.0,99.20548372020563
Enolase_N,913.7773125000001,1060.7350989743366,6367.0,99.18990496962144
Actin,900.2442405063292,1427.591663755289,6366.0,99.17432621903723
Profilin,888.7935454545456,1174.0065763352745,6365.0,99.15874746845303
AhpC-TSA,875.2214761904761,1138.1871291796717,6364.0,99.14316871786882
BASP1,866.574,0.0,6363.0,99.12758996728462
Ribosomal_S3_C,857.4220000000004,0.0,6362.0,99.11201121670041
HnRNPA1,857.3002857142856,168.97590348894354,6361.0,99.09643246611621
Myelin_PLP,856.3910000000001,915.8173080431291,6360.0,99.08085371553202
Rho_GDI,855.9271428571427,558.6427334316431,6359.0,99.0652749649478
Ribosomal_L37ae,852.5969999999999,0.0,6358.0,99.0496962143636
Ribosomal_S19e,847.91,0.0,6357.0,99.03411746377941
PGI,847.4159999999999,0.0,6356.0,99.0185387131952
Calreticulin,843.7082105263155,578.1882812425166,6355.0,99.00295996261099
Cytochrom_C,843.579,0.0,6354.0,98.98738121202679
Jacalin,841.3858,388.293651506434,6353.0,98.97180246144258
TBCA,839.1619999999999,0.0,6352.0,98.95622371085838
Ribosomal_S13,828.417,0.0,6351.0,98.94064496027418
Ribosomal_L13e,828.201,0.0,6350.0,98.92506620968999
ATP-synt_ab_N,822.4956363636364,709.5660946713136,6348.5,98.90169808381367
ATP-synt_ab,822.4956363636364,709.5660946713136,6348.5,98.90169808381367
Ribosomal_L6e,814.402,0.0,6346.5,98.87054058264528
Ribosomal_L6e_N,814.402,0.0,6346.5,98.87054058264528
Ribosomal_L32e,813.85,0.0,6345.0,98.84717245676896
