#Gn	Domain	Start	End	Eval
A1BG	Ig	127	201	0.38
A1BG	Ig	217	300	3e-15
A1BG	Ig	31	110	8.2e-06
A1BG	Ig	403	490	0.0019
A1BG	SpaA	327	352	44
A1CF	DND1_DSRM	447	523	2.3e-24
A1CF	RRM	138	199	4.4e-07
A1CF	RRM	233	296	6.7e-11
A1CF	RRM	58	124	2.4e-16
A2M	A2M	738	828	4.5e-31
A2M	A2M_BRD	460	607	2.3e-28
A2M	A2M_recep	1375	1464	2.8e-26
A2ML1	A2M	736	825	2.3e-29
A2ML1	A2M_BRD	459	601	1.4e-27
A2ML1	A2M_recep	1361	1450	2.5e-25
A2ML1	MG2	122	202	6.7e-18
A2ML1	MG3	213	303	1.1e-19
A2ML1	MG4	342	439	1.7e-21
A2ML1	SVA	788	881	1.4e-07
A2ML1	TED_complement	946	1251	1.1e-110
A2M	MG1	29	122	0.014
A2M	MG2	129	221	2e-19
A2M	MG3	223	312	1.4e-27
A2M	MG4	350	445	1.2e-27
A2M	SVA	790	884	0.00017
A2M	TED_complement	948	1264	4.7e-123
A3GALT2	Glyco_transf	66	340	1.3e-99
A4GALT	Gb3_synth	222	348	5.5e-46
A4GALT	Gly_transf_sug	94	213	4.4e-20
A4GNT	Gb3_synth	197	321	6.7e-46
A4GNT	Gly_transf_sug	64	179	8.9e-24
AAAS	ANAPC4_WD40	158	215	0.2
AAAS	PD40	336	346	0.6
AAAS	WD40	240	273	0.00025
AACS	ACAS_N	47	104	4.2e-11
AACS	AMP-binding	109	543	3.2e-44
AADAC	Abhydrolase	107	266	1.4e-37
AADAC	Abhydrolase	315	376	1.2e-10
AADACL2	Abhydrolase	107	258	2.9e-38
AADACL2	Abhydrolase	289	373	1e-10
AADACL3	Abhydrolase	115	243	2.7e-34
AADACL3	Abhydrolase	310	380	1.7e-10
AADACL4	Abhydrolase	115	266	4.2e-27
AADACL4	Abhydrolase	311	379	1.2e-07
AADAT	Aminotran_1	59	415	3.8e-22
AAGAB	Adaptin_binding	155	294	1e-17
AAK1	Pkinase	48	307	5e-43
AAMDC	DUF498	6	119	6e-21
AAMP	ANAPC4_WD40	325	401	0.00097
AAMP	WD40	125	161	0.00011
AAMP	WD40	219	243	0.02
AAMP	WD40	248	286	0.0014
AAMP	WD40	391	426	0.1
AANAT	Acetyltransf	48	173	6e-10
AAR2	AAR2	17	363	1.9e-108
AARD	ATG16	59	137	0.00019
AARS1	DHHA1	813	957	5.3e-19
AARS1	tRNA_SAD	694	753	5.9e-17
AARS1	tRNA-synt_2c	9	596	9.3e-228
AARS2	DHHA1	844	977	0.0011
AARS2	tRNA_SAD	721	778	2.2e-08
AARS2	tRNA-synt_2c	42	623	2.1e-174
AARSD1	tRNA_SAD	196	235	5.2e-09
AARSD1	tRNA-synt_2c	39	101	1.7e-05
AASDH	AMP-binding	9	449	4.6e-50
AASDH	AMP-binding_C	459	527	0.00077
AASDH	PP-binding	558	625	3.8e-06
AASDHPPT	ACPS	125	244	2.2e-17
AASDH	PQQ	1061	1091	0.038
AASDH	PQQ	758	891	5.7e-05
AASDH	PQQ	825	937	1.7e-06
AASDH	PQQ	967	1003	0.0015
AASS	AlaDh_PNT_C	352	455	4.5e-05
AASS	AlaDh_PNT_N	28	157	3.7e-26
AASS	Sacchrp_dh_C	602	916	3.3e-81
AASS	Sacchrp_dh_NADP	483	598	1.7e-21
AATF	AATF-Che1	220	373	2.3e-37
AATF	TRAUB	464	548	3.8e-25
AATK	PK_Tyr_Ser-Thr	128	392	2.3e-61
ABAT	Aminotran	66	496	3.3e-143
ABCA10	AAA	1334	1398	2e-05
ABCA10	ABC2_membrane	90	329	1.5e-22
ABCA10	ABC2_membrane	936	1130	1.7e-08
ABCA10	ABC_tran	1223	1367	1.4e-27
ABCA10	ABC_tran	410	556	1e-32
ABCA11P	ABC_tran	90	137	2.6e-09
ABCA11P	RsgA_GTPase	62	115	0.0011
ABCA12	AAA	1478	1536	2.1e-05
ABCA12	AAA	2387	2450	2.3e-10
ABCA12	ABC2_membrane	1744	2167	1.7e-31
ABCA12	ABC2_membrane	934	1270	2.7e-23
ABCA12	ABC_tran	1361	1506	4e-27
ABCA12	ABC_tran	2273	2417	4.5e-25
ABCA13	AAA	3975	4033	0.00099
ABCA13	AAA	4855	4917	3.8e-05
ABCA13	ABC2_membrane	3547	3770	1.3e-16
ABCA13	ABC2_membrane	4390	4654	1.4e-28
ABCA13	ABC_tran	3859	4004	3.5e-28
ABCA13	ABC_tran	4738	4884	7.1e-20
ABCA1	AAA	1031	1090	3.9e-06
ABCA1	AAA	2044	2105	1.8e-05
ABCA1	ABC2_membrane	1347	1868	6.3e-50
ABCA1	ABC2_membrane	640	841	1.3e-11
ABCA1	ABC_tran	1930	2072	2.9e-20
ABCA1	ABC_tran	917	1061	1.1e-28
ABCA1	DUF4162	1198	1251	5.1
ABCA1	DUF4162	2126	2219	0.21
ABCA2	AAA	2182	2246	2e-06
ABCA2	ABC2_membrane	1725	2007	2e-44
ABCA2	ABC2_membrane	705	912	2.1e-15
ABCA2	ABC_tran	1007	1151	1.1e-29
ABCA2	ABC_tran	2072	2213	2.4e-23
ABCA3	AAA	1518	1575	1.2e-05
ABCA3	ABC2_membrane	252	469	2.5e-20
ABCA3	ABC2_membrane	923	1322	1.4e-34
ABCA3	ABC_tran	1400	1542	1e-20
ABCA3	ABC_tran	550	693	3.9e-28
ABCA3	DUF4162	1596	1691	11
ABCA3	DUF4162	809	839	4.4
ABCA4	AAA	1053	1119	9.7e-08
ABCA4	AAA	2072	2131	1.2e-05
ABCA4	ABC2_membrane	1604	1895	6.3e-43
ABCA4	ABC2_membrane	610	856	3e-14
ABCA4	ABC_tran	1957	2098	1.2e-20
ABCA4	ABC_tran	947	1090	4e-30
ABCA5	AAA	1432	1491	0.0018
ABCA5	AAA	613	671	0.0026
ABCA5	ABC2_membrane	32	416	1.2e-29
ABCA5	ABC2_membrane	866	1224	2.8e-08
ABCA5	ABC_tran	1318	1460	3.6e-26
ABCA5	ABC_tran	497	643	3.2e-29
ABCA5	DUF4162	1515	1613	3.3
ABCA5	DUF4162	732	787	6.4
ABCA6	AAA	1403	1473	2.6e-05
ABCA6	ABC2_membrane	33	416	6.9e-30
ABCA6	ABC2_membrane	867	1167	3.1e-11
